{'date': '2017-06-22 21:30', 'home': 'changnin', 'temperature': '26.80', 'humidity': '99.90'}
{'date': '2017-07-14 14:00', 'home': 'changnin', 'ch2o': 0.0284, 'temperature': '30.40', 'humidity': '65.40'}
{'date': '2017-07-14 14:30', 'home': 'changnin', 'ch2o': 0.0232, 'temperature': '30.40', 'humidity': '61.40'}
{'date': '2017-07-14 15:00', 'home': 'changnin', 'ch2o': 0.0279, 'temperature': '30.70', 'humidity': '61.10'}
{'date': '2017-07-14 15:30', 'home': 'changnin', 'ch2o': 0.0201, 'temperature': '30.60', 'humidity': '61.20'}
{'date': '2017-07-14 16:00', 'home': 'changnin', 'ch2o': 0.0199, 'temperature': '30.70', 'humidity': '59.80'}
{'date': '2017-07-14 16:30', 'home': 'changnin', 'ch2o': 0.038, 'temperature': '30.70', 'humidity': '59.70'}
{'date': '2017-07-14 17:00', 'home': 'changnin', 'ch2o': 0.0248, 'temperature': '30.60', 'humidity': '62.50'}
{'date': '2017-07-14 17:30', 'home': 'changnin', 'ch2o': 0.0211, 'temperature': '30.60', 'humidity': '62.60'}
{'date': '2017-07-14 18:00', 'home': 'changnin', 'ch2o': 0.0309, 'temperature': '29.90', 'humidity': '46.20'}
{'date': '2017-07-14 18:30', 'home': 'changnin', 'ch2o': 0.0634, 'temperature': '28.90', 'humidity': '35.90'}
{'date': '2017-07-14 19:00', 'home': 'changnin', 'ch2o': 0.0794, 'temperature': '28.90', 'humidity': '35.80'}
{'date': '2017-07-14 19:30', 'home': 'changnin', 'ch2o': 0.0424, 'temperature': '28.30', 'humidity': '30.50'}
{'date': '2017-07-14 20:00', 'home': 'changnin', 'ch2o': 0.0417, 'temperature': '26.40', 'humidity': '25.30'}
{'date': '2017-07-14 20:30', 'home': 'changnin', 'ch2o': 0.0372, 'temperature': '26.30', 'humidity': '27.70'}
{'date': '2017-07-14 21:00', 'home': 'changnin', 'ch2o': 0.0385, 'temperature': '25.60', 'humidity': '28.80'}
{'date': '2017-07-14 21:30', 'home': 'changnin', 'ch2o': 0.0304, 'temperature': '25.70', 'humidity': '28.90'}
{'date': '2017-07-14 22:00', 'home': 'changnin', 'ch2o': 0.0311, 'temperature': '25.60', 'humidity': '34.80'}
{'date': '2017-07-14 22:30', 'home': 'changnin', 'ch2o': 0.028, 'temperature': '25.70', 'humidity': '45.10'}
{'date': '2017-07-14 23:00', 'home': 'changnin', 'ch2o': 0.0319, 'temperature': '26.20', 'humidity': '57.00'}
{'date': '2017-07-14 23:30', 'home': 'changnin', 'ch2o': 0.0464, 'temperature': '26.20', 'humidity': '57.00'}
{'date': '2017-07-15 00:00', 'home': 'changnin', 'ch2o': 0.0554, 'temperature': '27.20', 'humidity': '59.60'}
{'date': '2017-07-15 00:30', 'home': 'changnin', 'ch2o': 0.0537, 'temperature': '27.20', 'humidity': '59.60'}
{'date': '2017-07-15 01:00', 'home': 'changnin', 'ch2o': 0.0531, 'temperature': '28.20', 'humidity': '81.50'}
{'date': '2017-07-15 01:30', 'home': 'changnin', 'ch2o': 0.037, 'temperature': '28.10', 'humidity': '81.30'}
{'date': '2017-07-15 02:00', 'home': 'changnin', 'ch2o': 0.0425, 'temperature': '28.40', 'humidity': '76.50'}
{'date': '2017-07-15 02:30', 'home': 'changnin', 'ch2o': 0.0369, 'temperature': '28.60', 'humidity': '72.20'}
{'date': '2017-07-15 03:00', 'home': 'changnin', 'ch2o': 0.0464, 'temperature': '28.60', 'humidity': '64.10'}
{'date': '2017-07-15 03:30', 'home': 'changnin', 'ch2o': 0.0445, 'temperature': '29.10', 'humidity': '74.90'}
{'date': '2017-07-15 04:00', 'home': 'changnin', 'ch2o': 0.0389, 'temperature': '29.00', 'humidity': '74.80'}
{'date': '2017-07-15 04:30', 'home': 'changnin', 'ch2o': 0.0448, 'temperature': '29.20', 'humidity': '75.30'}
{'date': '2017-07-15 05:00', 'home': 'changnin', 'ch2o': 0.0394, 'temperature': '29.20', 'humidity': '75.10'}
{'date': '2017-07-15 05:30', 'home': 'changnin', 'ch2o': 0.0411, 'temperature': '29.40', 'humidity': '74.00'}
{'date': '2017-07-15 06:00', 'home': 'changnin', 'ch2o': 0.0339, 'temperature': '29.30', 'humidity': '73.80'}
{'date': '2017-07-15 06:30', 'home': 'changnin', 'ch2o': 0.0348, 'temperature': '29.40', 'humidity': '72.60'}
{'date': '2017-07-15 07:00', 'home': 'changnin', 'ch2o': 0.0222, 'temperature': '29.50', 'humidity': '72.60'}
{'date': '2017-07-15 07:30', 'home': 'changnin', 'ch2o': 0.0246, 'temperature': '29.40', 'humidity': '71.30'}
{'date': '2017-07-15 08:00', 'home': 'changnin', 'ch2o': 0.0286, 'temperature': '29.70', 'humidity': '78.00'}
{'date': '2017-07-15 08:30', 'home': 'changnin', 'ch2o': 0.0235, 'temperature': '29.80', 'humidity': '78.30'}
{'date': '2017-07-15 09:00', 'home': 'changnin', 'ch2o': 0.0164, 'temperature': '29.90', 'humidity': '80.10'}
{'date': '2017-07-15 09:30', 'home': 'changnin', 'ch2o': 0.022, 'temperature': '30.20', 'humidity': '76.20'}
{'date': '2017-07-15 10:00', 'home': 'changnin', 'ch2o': 0.0262, 'temperature': '30.20', 'humidity': '76.00'}
{'date': '2017-07-15 10:30', 'home': 'changnin', 'ch2o': 0.0215, 'temperature': '30.30', 'humidity': '73.80'}
{'date': '2017-07-15 11:00', 'home': 'changnin', 'ch2o': 0.0151, 'temperature': '28.80', 'humidity': '32.70'}
{'date': '2017-07-15 11:30', 'home': 'changnin', 'ch2o': 0.0239, 'temperature': '28.80', 'humidity': '32.40'}
{'date': '2017-07-15 12:00', 'home': 'changnin', 'ch2o': 0.0233, 'temperature': '27.70', 'humidity': '31.40'}
{'date': '2017-07-15 12:30', 'home': 'changnin', 'ch2o': 0.026, 'temperature': '27.70', 'humidity': '31.50'}
{'date': '2017-07-15 13:00', 'home': 'changnin', 'ch2o': 0.0465, 'temperature': '27.40', 'humidity': '32.40'}
{'date': '2017-07-15 13:30', 'home': 'changnin', 'ch2o': 0.067, 'temperature': '27.10', 'humidity': '34.00'}
{'date': '2017-07-15 14:00', 'home': 'changnin', 'ch2o': 0.0506, 'temperature': '26.90', 'humidity': '33.80'}
{'date': '2017-07-15 14:30', 'home': 'changnin', 'ch2o': 0.0431, 'temperature': '26.80', 'humidity': '33.30'}
{'date': '2017-07-15 15:00', 'home': 'changnin', 'ch2o': 0.0359, 'temperature': '26.70', 'humidity': '33.40'}
{'date': '2017-07-15 15:30', 'home': 'changnin', 'ch2o': 0.028, 'temperature': '26.60', 'humidity': '35.10'}
{'date': '2017-07-15 16:00', 'home': 'changnin', 'ch2o': 0.0282, 'temperature': '26.40', 'humidity': '33.20'}
{'date': '2017-07-15 16:30', 'home': 'changnin', 'ch2o': 0.026, 'temperature': '26.20', 'humidity': '33.30'}
{'date': '2017-07-15 17:00', 'home': 'changnin', 'ch2o': 0.0262, 'temperature': '26.20', 'humidity': '32.60'}
{'date': '2017-07-15 17:30', 'home': 'changnin', 'ch2o': 0.0277, 'temperature': '26.00', 'humidity': '32.10'}
{'date': '2017-07-15 18:00', 'home': 'changnin', 'ch2o': 0.0273, 'temperature': '25.90', 'humidity': '30.40'}
{'date': '2017-07-15 18:30', 'home': 'changnin', 'ch2o': 0.0197, 'temperature': '25.80', 'humidity': '33.50'}
{'date': '2017-07-15 19:00', 'home': 'changnin', 'ch2o': 0.0262, 'temperature': '25.90', 'humidity': '41.50'}
{'date': '2017-07-15 19:30', 'home': 'changnin', 'ch2o': 0.0247, 'temperature': '25.90', 'humidity': '38.60'}
{'date': '2017-07-15 20:00', 'home': 'changnin', 'ch2o': 0.084, 'temperature': '25.80', 'humidity': '38.40'}
{'date': '2017-07-15 20:30', 'home': 'changnin', 'ch2o': 0.0202, 'temperature': '26.60', 'humidity': '70.60'}
{'date': '2017-07-15 21:00', 'home': 'changnin', 'ch2o': 0.0241, 'temperature': '27.60', 'humidity': '91.20'}
{'date': '2017-07-15 21:30', 'home': 'changnin', 'ch2o': 0.028, 'temperature': '28.00', 'humidity': '91.50'}
{'date': '2017-07-15 22:00', 'home': 'changnin', 'ch2o': 0.0248, 'temperature': '28.30', 'humidity': '91.70'}
{'date': '2017-07-15 22:30', 'home': 'changnin', 'ch2o': 0.0231, 'temperature': '28.40', 'humidity': '91.50'}
{'date': '2017-07-15 23:00', 'home': 'changnin', 'ch2o': 0.0267, 'temperature': '28.70', 'humidity': '92.60'}
{'date': '2017-07-15 23:30', 'home': 'changnin', 'ch2o': 0.0309, 'temperature': '28.80', 'humidity': '84.50'}
{'date': '2017-07-16 00:00', 'home': 'changnin', 'ch2o': 0.0271, 'temperature': '29.10', 'humidity': '85.80'}
{'date': '2017-07-16 00:30', 'home': 'changnin', 'ch2o': 0.0258, 'temperature': '29.20', 'humidity': '83.40'}
{'date': '2017-07-16 01:00', 'home': 'changnin', 'ch2o': 0.0284, 'temperature': '29.30', 'humidity': '81.10'}
{'date': '2017-07-16 01:30', 'home': 'changnin', 'ch2o': 0.0234, 'temperature': '29.20', 'humidity': '81.50'}
{'date': '2017-07-16 02:00', 'home': 'changnin', 'ch2o': 0.0217, 'temperature': '29.30', 'humidity': '78.00'}
{'date': '2017-07-16 02:30', 'home': 'changnin', 'ch2o': 0.0246, 'temperature': '29.30', 'humidity': '78.00'}
{'date': '2017-07-16 03:00', 'home': 'changnin', 'ch2o': 0.0233, 'temperature': '29.30', 'humidity': '78.60'}
{'date': '2017-07-16 03:30', 'home': 'changnin', 'ch2o': 0.0188, 'temperature': '29.40', 'humidity': '78.20'}
{'date': '2017-07-16 04:00', 'home': 'changnin', 'ch2o': 0.0229, 'temperature': '29.30', 'humidity': '76.10'}
{'date': '2017-07-16 04:30', 'home': 'changnin', 'ch2o': 0.0221, 'temperature': '29.40', 'humidity': '75.10'}
{'date': '2017-07-16 05:00', 'home': 'changnin', 'ch2o': 0.0198, 'temperature': '29.40', 'humidity': '74.60'}
{'date': '2017-07-16 05:30', 'home': 'changnin', 'ch2o': 0.0266, 'temperature': '29.40', 'humidity': '73.70'}
{'date': '2017-07-16 06:00', 'home': 'changnin', 'ch2o': 0.0214, 'temperature': '29.40', 'humidity': '73.50'}
{'date': '2017-07-16 06:30', 'home': 'changnin', 'ch2o': 0.0214, 'temperature': '29.40', 'humidity': '72.30'}
{'date': '2017-07-16 07:00', 'home': 'changnin', 'ch2o': 0.0286, 'temperature': '29.40', 'humidity': '72.00'}
{'date': '2017-07-17 19:00', 'home': 'changnin', 'ch2o': -1, 'temperature': '27.00', 'humidity': '50.90'}
{'date': '2017-07-17 19:30', 'home': 'changnin', 'ch2o': 0.0971, 'temperature': '26.90', 'humidity': '42.00'}
{'date': '2017-07-17 20:00', 'home': 'changnin', 'ch2o': 0.0673, 'temperature': '26.70', 'humidity': '37.20'}
{'date': '2017-07-17 20:30', 'home': 'changnin', 'ch2o': 0.0472, 'temperature': '26.60', 'humidity': '32.20'}
{'date': '2017-07-17 21:00', 'home': 'changnin', 'ch2o': 0.0305, 'temperature': '26.70', 'humidity': '45.80'}
{'date': '2017-07-17 21:30', 'home': 'changnin', 'ch2o': 0.0308, 'temperature': '26.70', 'humidity': '46.00'}
{'date': '2017-07-17 22:00', 'home': 'changnin', 'ch2o': 0.0384, 'temperature': '26.30', 'humidity': '34.50'}
{'date': '2017-07-17 22:30', 'home': 'changnin', 'ch2o': 0.041, 'temperature': '26.30', 'humidity': '33.60'}
{'date': '2017-07-17 23:00', 'home': 'changnin', 'ch2o': 0.0403, 'temperature': '27.10', 'humidity': '53.60'}
{'date': '2017-07-17 23:30', 'home': 'changnin', 'ch2o': 0.0404, 'temperature': '27.50', 'humidity': '61.80'}
{'date': '2017-07-18 00:00', 'home': 'changnin', 'ch2o': 0.0377, 'temperature': '28.10', 'humidity': '70.30'}
{'date': '2017-07-18 00:30', 'home': 'changnin', 'ch2o': 0.0391, 'temperature': '28.40', 'humidity': '76.50'}
{'date': '2017-07-18 01:00', 'home': 'changnin', 'ch2o': 0.0419, 'temperature': '28.70', 'humidity': '80.20'}
{'date': '2017-07-18 01:30', 'home': 'changnin', 'ch2o': 0.0438, 'temperature': '28.70', 'humidity': '80.10'}
{'date': '2017-07-18 02:00', 'home': 'changnin', 'ch2o': 0.0474, 'temperature': '29.00', 'humidity': '83.00'}
{'date': '2017-07-18 02:30', 'home': 'changnin', 'ch2o': 0.0468, 'temperature': '29.00', 'humidity': '83.00'}
{'date': '2017-07-18 03:00', 'home': 'changnin', 'ch2o': 0.0502, 'temperature': '29.10', 'humidity': '82.60'}
{'date': '2017-07-18 03:30', 'home': 'changnin', 'ch2o': 0.0439, 'temperature': '29.20', 'humidity': '79.50'}
{'date': '2017-07-18 04:00', 'home': 'changnin', 'ch2o': 0.0443, 'temperature': '29.30', 'humidity': '84.80'}
{'date': '2017-07-18 04:30', 'home': 'changnin', 'ch2o': 0.0361, 'temperature': '29.30', 'humidity': '85.20'}
{'date': '2017-07-18 05:00', 'home': 'changnin', 'ch2o': 0.0379, 'temperature': '29.40', 'humidity': '85.90'}
{'date': '2017-07-18 05:30', 'home': 'changnin', 'ch2o': 0.0351, 'temperature': '29.40', 'humidity': '85.90'}
{'date': '2017-07-18 06:00', 'home': 'changnin', 'ch2o': 0.0338, 'temperature': '29.40', 'humidity': '90.70'}
{'date': '2017-07-18 06:30', 'home': 'changnin', 'ch2o': 0.0314, 'temperature': '29.20', 'humidity': '65.30'}
{'date': '2017-07-18 07:00', 'home': 'changnin', 'ch2o': 0.025, 'temperature': '29.40', 'humidity': '83.10'}
{'date': '2017-07-18 07:30', 'home': 'changnin', 'ch2o': 0.0245, 'temperature': '29.40', 'humidity': '83.20'}
{'date': '2017-07-18 08:00', 'home': 'changnin', 'ch2o': 0.02, 'temperature': '29.50', 'humidity': '92.10'}
{'date': '2017-07-18 08:30', 'home': 'changnin', 'ch2o': 0.0289, 'temperature': '29.60', 'humidity': '91.70'}
{'date': '2017-07-18 09:00', 'home': 'changnin', 'ch2o': 0.0261, 'temperature': '29.60', 'humidity': '91.80'}
{'date': '2017-07-18 09:30', 'home': 'changnin', 'ch2o': 0.0233, 'temperature': '29.70', 'humidity': '91.20'}
{'date': '2017-07-18 10:00', 'home': 'changnin', 'ch2o': 0.0285, 'temperature': '29.70', 'humidity': '88.10'}
{'date': '2017-07-18 10:30', 'home': 'changnin', 'ch2o': 0.0241, 'temperature': '29.80', 'humidity': '86.80'}
{'date': '2017-07-18 11:00', 'home': 'changnin', 'ch2o': 0.023, 'temperature': '29.80', 'humidity': '86.00'}
{'date': '2017-07-18 11:30', 'home': 'changnin', 'ch2o': 0.0306, 'temperature': '30.00', 'humidity': '84.20'}
{'date': '2017-07-18 12:00', 'home': 'changnin', 'ch2o': 0.0261, 'temperature': '30.00', 'humidity': '84.30'}
{'date': '2017-07-18 12:30', 'home': 'changnin', 'ch2o': 0.0299, 'temperature': '30.00', 'humidity': '82.40'}
{'date': '2017-07-18 13:00', 'home': 'changnin', 'ch2o': 0.0253, 'temperature': '30.10', 'humidity': '81.40'}
{'date': '2017-07-18 13:30', 'home': 'changnin', 'ch2o': 0.0261, 'temperature': '30.20', 'humidity': '79.80'}
{'date': '2017-07-18 14:00', 'home': 'changnin', 'ch2o': 0.0244, 'temperature': '30.30', 'humidity': '81.10'}
{'date': '2017-07-18 14:30', 'home': 'changnin', 'ch2o': 0.0269, 'temperature': '30.40', 'humidity': '82.60'}
{'date': '2017-07-18 15:00', 'home': 'changnin', 'ch2o': 0.0214, 'temperature': '30.30', 'humidity': '77.60'}
{'date': '2017-07-18 15:30', 'home': 'changnin', 'ch2o': 0.024, 'temperature': '30.30', 'humidity': '77.60'}
{'date': '2017-07-18 16:00', 'home': 'changnin', 'ch2o': 0.0317, 'temperature': '30.30', 'humidity': '72.60'}
{'date': '2017-07-18 16:30', 'home': 'changnin', 'ch2o': 0.0251, 'temperature': '30.30', 'humidity': '74.80'}
{'date': '2017-07-18 17:00', 'home': 'changnin', 'ch2o': 0.0323, 'temperature': '30.30', 'humidity': '74.90'}
{'date': '2017-07-18 17:30', 'home': 'changnin', 'ch2o': 0.0287, 'temperature': '30.20', 'humidity': '72.30'}
{'date': '2017-07-18 18:00', 'home': 'changnin', 'ch2o': 0.0334, 'temperature': '30.30', 'humidity': '72.30'}
{'date': '2017-07-18 18:30', 'home': 'changnin', 'ch2o': 0.0286, 'temperature': '30.30', 'humidity': '72.20'}
{'date': '2017-07-18 19:00', 'home': 'changnin', 'ch2o': 0.041, 'temperature': '30.30', 'humidity': '72.00'}
{'date': '2017-07-18 19:30', 'home': 'changnin', 'ch2o': 0.0344, 'temperature': '30.00', 'humidity': '59.90'}
{'date': '2017-07-18 20:00', 'home': 'changnin', 'ch2o': 0.0459, 'temperature': '28.40', 'humidity': '28.70'}
{'date': '2017-07-18 20:30', 'home': 'changnin', 'ch2o': 0.046, 'temperature': '28.40', 'humidity': '28.70'}
{'date': '2017-07-18 21:00', 'home': 'changnin', 'ch2o': 0.0435, 'temperature': '27.70', 'humidity': '26.10'}
{'date': '2017-07-18 21:30', 'home': 'changnin', 'ch2o': 0.0412, 'temperature': '27.20', 'humidity': '27.00'}
{'date': '2017-07-18 22:00', 'home': 'changnin', 'ch2o': 0.0427, 'temperature': '26.80', 'humidity': '25.60'}
{'date': '2017-07-18 22:30', 'home': 'changnin', 'ch2o': 0.0424, 'temperature': '28.10', 'humidity': '72.20'}
{'date': '2017-07-18 23:00', 'home': 'changnin', 'ch2o': 0.0383, 'temperature': '28.10', 'humidity': '72.40'}
{'date': '2017-07-18 23:30', 'home': 'changnin', 'ch2o': 0.0321, 'temperature': '28.50', 'humidity': '78.00'}
{'date': '2017-07-19 00:00', 'home': 'changnin', 'ch2o': 0.0377, 'temperature': '28.40', 'humidity': '58.40'}
{'date': '2017-07-19 00:30', 'home': 'changnin', 'ch2o': 0.0368, 'temperature': '29.10', 'humidity': '75.90'}
{'date': '2017-07-19 01:00', 'home': 'changnin', 'ch2o': 0.0416, 'temperature': '29.20', 'humidity': '77.40'}
{'date': '2017-07-19 01:30', 'home': 'changnin', 'ch2o': 0.0409, 'temperature': '29.40', 'humidity': '78.00'}
{'date': '2017-07-19 02:00', 'home': 'changnin', 'ch2o': 0.0434, 'temperature': '29.40', 'humidity': '77.90'}
{'date': '2017-07-19 02:30', 'home': 'changnin', 'ch2o': 0.046, 'temperature': '29.50', 'humidity': '79.80'}
{'date': '2017-07-19 03:00', 'home': 'changnin', 'ch2o': 0.0399, 'temperature': '29.60', 'humidity': '81.10'}
{'date': '2017-07-19 03:30', 'home': 'changnin', 'ch2o': 0.0358, 'temperature': '29.60', 'humidity': '83.00'}
{'date': '2017-07-19 04:00', 'home': 'changnin', 'ch2o': 0.0364, 'temperature': '29.60', 'humidity': '83.10'}
{'date': '2017-07-19 04:30', 'home': 'changnin', 'ch2o': 0.0334, 'temperature': '29.60', 'humidity': '81.90'}
{'date': '2017-07-19 05:00', 'home': 'changnin', 'ch2o': 0.036, 'temperature': '29.70', 'humidity': '83.70'}
{'date': '2017-07-19 05:30', 'home': 'changnin', 'ch2o': 0.0353, 'temperature': '29.70', 'humidity': '83.40'}
{'date': '2017-07-19 06:00', 'home': 'changnin', 'ch2o': 0.0325, 'temperature': '29.70', 'humidity': '80.90'}
{'date': '2017-07-19 06:30', 'home': 'changnin', 'ch2o': 0.035, 'temperature': '29.70', 'humidity': '81.90'}
{'date': '2017-07-19 07:00', 'home': 'changnin', 'ch2o': 0.0289, 'temperature': '29.40', 'humidity': '69.20'}
{'date': '2017-07-19 07:30', 'home': 'changnin', 'ch2o': 0.0227, 'temperature': '29.40', 'humidity': '69.20'}
{'date': '2017-07-19 08:00', 'home': 'changnin', 'ch2o': 0.0263, 'temperature': '29.50', 'humidity': '77.70'}
{'date': '2017-07-19 08:30', 'home': 'changnin', 'ch2o': 0.0268, 'temperature': '29.50', 'humidity': '77.60'}
{'date': '2017-07-19 09:00', 'home': 'changnin', 'ch2o': 0.0213, 'temperature': '29.60', 'humidity': '81.00'}
{'date': '2017-07-19 09:30', 'home': 'changnin', 'ch2o': 0.0162, 'temperature': '29.60', 'humidity': '72.40'}
{'date': '2017-07-19 10:00', 'home': 'changnin', 'ch2o': 0.0205, 'temperature': '29.70', 'humidity': '72.60'}
{'date': '2017-07-19 10:30', 'home': 'changnin', 'ch2o': 0.0147, 'temperature': '29.70', 'humidity': '68.90'}
{'date': '2017-07-19 11:00', 'home': 'changnin', 'ch2o': 0.0171, 'temperature': '29.70', 'humidity': '68.70'}
{'date': '2017-07-19 11:30', 'home': 'changnin', 'ch2o': 0.0228, 'temperature': '29.80', 'humidity': '68.90'}
{'date': '2017-07-19 12:00', 'home': 'changnin', 'ch2o': 0.0202, 'temperature': '29.80', 'humidity': '66.80'}
{'date': '2017-07-19 12:30', 'home': 'changnin', 'ch2o': 0.0168, 'temperature': '30.00', 'humidity': '63.90'}
{'date': '2017-07-19 13:00', 'home': 'changnin', 'ch2o': 0.0222, 'temperature': '30.00', 'humidity': '64.10'}
{'date': '2017-07-19 13:30', 'home': 'changnin', 'ch2o': 0.0221, 'temperature': '30.20', 'humidity': '64.00'}
{'date': '2017-07-19 14:00', 'home': 'changnin', 'ch2o': 0.0217, 'temperature': '30.20', 'humidity': '66.90'}
{'date': '2017-07-19 14:30', 'home': 'changnin', 'ch2o': 0.0196, 'temperature': '30.20', 'humidity': '66.90'}
{'date': '2017-07-19 15:00', 'home': 'changnin', 'ch2o': 0.0166, 'temperature': '30.30', 'humidity': '64.90'}
{'date': '2017-07-19 15:30', 'home': 'changnin', 'ch2o': 0.0167, 'temperature': '30.30', 'humidity': '54.80'}
{'date': '2017-07-19 16:00', 'home': 'changnin', 'ch2o': 0.0177, 'temperature': '30.30', 'humidity': '54.60'}
{'date': '2017-07-19 16:30', 'home': 'changnin', 'ch2o': 0.013, 'temperature': '30.30', 'humidity': '55.00'}
{'date': '2017-07-19 17:00', 'home': 'changnin', 'ch2o': 0.0134, 'temperature': '30.30', 'humidity': '50.70'}
{'date': '2017-07-19 17:30', 'home': 'changnin', 'ch2o': 0.0171, 'temperature': '30.40', 'humidity': '50.70'}
{'date': '2017-07-19 18:00', 'home': 'changnin', 'ch2o': 0.019, 'temperature': '30.40', 'humidity': '52.50'}
{'date': '2017-07-19 18:30', 'home': 'changnin', 'ch2o': 0.0185, 'temperature': '30.50', 'humidity': '52.80'}
{'date': '2017-07-19 19:00', 'home': 'changnin', 'ch2o': 0.0219, 'temperature': '29.20', 'humidity': '29.00'}
{'date': '2017-07-19 19:30', 'home': 'changnin', 'ch2o': 0.0264, 'temperature': '29.20', 'humidity': '28.60'}
{'date': '2017-07-19 20:00', 'home': 'changnin', 'ch2o': 0.0266, 'temperature': '28.00', 'humidity': '27.60'}
{'date': '2017-07-19 20:30', 'home': 'changnin', 'ch2o': 0.0268, 'temperature': '28.10', 'humidity': '27.60'}
{'date': '2017-07-19 21:00', 'home': 'changnin', 'ch2o': 0.031, 'temperature': '27.20', 'humidity': '25.20'}
{'date': '2017-07-19 21:30', 'home': 'changnin', 'ch2o': 0.0248, 'temperature': '27.20', 'humidity': '25.30'}
{'date': '2017-07-19 22:00', 'home': 'changnin', 'ch2o': 0.0193, 'temperature': '27.80', 'humidity': '65.50'}
{'date': '2017-07-19 22:30', 'home': 'changnin', 'ch2o': 0.0139, 'temperature': '27.40', 'humidity': '38.10'}
{'date': '2017-07-19 23:00', 'home': 'changnin', 'ch2o': 0.0154, 'temperature': '26.90', 'humidity': '26.90'}
{'date': '2017-07-19 23:30', 'home': 'changnin', 'ch2o': 0.0197, 'temperature': '26.90', 'humidity': '26.80'}
{'date': '2017-07-20 00:00', 'home': 'changnin', 'ch2o': 0.0223, 'temperature': '26.60', 'humidity': '25.00'}
{'date': '2017-07-20 00:30', 'home': 'changnin', 'ch2o': 0.028, 'temperature': '26.40', 'humidity': '24.50'}
{'date': '2017-07-20 01:00', 'home': 'changnin', 'ch2o': 0.0267, 'temperature': '27.40', 'humidity': '54.90'}
{'date': '2017-07-20 01:30', 'home': 'changnin', 'ch2o': 0.0248, 'temperature': '27.90', 'humidity': '63.40'}
{'date': '2017-07-20 02:00', 'home': 'changnin', 'ch2o': 0.0264, 'temperature': '28.00', 'humidity': '63.40'}
{'date': '2017-07-20 02:30', 'home': 'changnin', 'ch2o': 0.0265, 'temperature': '28.70', 'humidity': '67.00'}
{'date': '2017-07-20 03:00', 'home': 'changnin', 'ch2o': 0.0314, 'temperature': '28.90', 'humidity': '66.90'}
{'date': '2017-07-20 03:30', 'home': 'changnin', 'ch2o': 0.0351, 'temperature': '29.10', 'humidity': '66.70'}
{'date': '2017-07-20 04:00', 'home': 'changnin', 'ch2o': 0.0404, 'temperature': '29.10', 'humidity': '66.80'}
{'date': '2017-07-20 04:30', 'home': 'changnin', 'ch2o': 0.0427, 'temperature': '29.30', 'humidity': '66.30'}
{'date': '2017-07-20 05:00', 'home': 'changnin', 'ch2o': 0.046, 'temperature': '29.60', 'humidity': '66.10'}
{'date': '2017-07-20 05:30', 'home': 'changnin', 'ch2o': 0.047, 'temperature': '29.60', 'humidity': '66.20'}
{'date': '2017-07-20 06:00', 'home': 'changnin', 'ch2o': 0.0486, 'temperature': '29.60', 'humidity': '67.50'}
{'date': '2017-07-20 06:30', 'home': 'changnin', 'ch2o': 0.0459, 'temperature': '29.70', 'humidity': '68.00'}
{'date': '2017-07-20 07:00', 'home': 'changnin', 'ch2o': 0.0235, 'temperature': '29.80', 'humidity': '69.70'}
{'date': '2017-07-20 07:30', 'home': 'changnin', 'ch2o': 0.0198, 'temperature': '29.60', 'humidity': '63.00'}
{'date': '2017-07-20 08:00', 'home': 'changnin', 'ch2o': 0.0224, 'temperature': '29.70', 'humidity': '66.30'}
{'date': '2017-07-20 08:30', 'home': 'changnin', 'ch2o': 0.0207, 'temperature': '29.70', 'humidity': '65.30'}
{'date': '2017-07-20 09:00', 'home': 'changnin', 'ch2o': 0.019, 'temperature': '29.80', 'humidity': '63.30'}
{'date': '2017-07-20 09:30', 'home': 'changnin', 'ch2o': 0.0234, 'temperature': '29.90', 'humidity': '61.20'}
{'date': '2017-07-20 10:00', 'home': 'changnin', 'ch2o': 0.0168, 'temperature': '29.90', 'humidity': '60.30'}
{'date': '2017-07-20 10:30', 'home': 'changnin', 'ch2o': 0.0173, 'temperature': '30.00', 'humidity': '57.10'}
{'date': '2017-07-20 11:00', 'home': 'changnin', 'ch2o': 0.019, 'temperature': '30.10', 'humidity': '55.70'}
{'date': '2017-07-20 11:30', 'home': 'changnin', 'ch2o': 0.0186, 'temperature': '30.20', 'humidity': '54.90'}
{'date': '2017-07-20 12:00', 'home': 'changnin', 'ch2o': 0.022, 'temperature': '30.20', 'humidity': '53.60'}
{'date': '2017-07-20 12:30', 'home': 'changnin', 'ch2o': 0.0175, 'temperature': '30.30', 'humidity': '53.60'}
{'date': '2017-07-20 13:00', 'home': 'changnin', 'ch2o': 0.0213, 'temperature': '30.50', 'humidity': '51.60'}
{'date': '2017-07-20 13:30', 'home': 'changnin', 'ch2o': 0.018, 'temperature': '30.40', 'humidity': '51.50'}
{'date': '2017-07-20 14:00', 'home': 'changnin', 'ch2o': 0.0236, 'temperature': '30.60', 'humidity': '50.20'}
{'date': '2017-07-20 14:30', 'home': 'changnin', 'ch2o': 0.0206, 'temperature': '30.50', 'humidity': '50.10'}
{'date': '2017-07-20 15:00', 'home': 'changnin', 'ch2o': 0.0233, 'temperature': '30.80', 'humidity': '49.90'}
{'date': '2017-07-20 15:30', 'home': 'changnin', 'ch2o': 0.0256, 'temperature': '30.70', 'humidity': '49.60'}
